fineAGE,Left.Cerebellum.White.Matter,Left.Cerebellum.Cortex,Left.Thalamus.Proper,Left.Caudate,Left.Putamen,Left.Pallidum,Left.Hippocampus,Left.Amygdala,Left.Accumbens.area,Left.VentralDC,Right.Cerebellum.White.Matter,Right.Cerebellum.Cortex,Right.Thalamus.Proper,Right.Caudate,Right.Putamen,Right.Pallidum,Right.Hippocampus,Right.Amygdala,Right.Accumbens.area,Right.VentralDC
1,8.780988900204898,50.613835719627446,6.746845140517476,3.243811508808411,4.506271830051991,1.2292574731990489,2.9612180451935126,0.9373449841824654,0.6290725207537192,3.03101287846184,8.400017316997364,50.01344104581131,6.5068197650781014,3.4302771877241147,4.402798523612282,1.2798647589543142,3.0263156685916197,1.1513823219188797,0.5211829201537183,3.06943969234669
1.083,8.765750282095055,50.33460776170182,6.709143402495984,3.2146644424404025,4.4917217566891665,1.2243031319489996,2.9495285998377416,0.9344686999187368,0.6369116598634632,3.0279992047832502,8.377705437326487,49.74622718687094,6.475621803358042,3.4115036126267575,4.397363290440375,1.2781554933756758,3.020239026359279,1.1487409203260674,0.5259180198892183,3.073270125894125
1.17,8.75084346022929,50.04790341471763,6.670521035952365,3.1849171773534475,4.477050716388311,1.2193990351883974,2.9376800866407287,0.9315831496773544,0.6448893779823787,3.024862044670845,8.355536181713159,49.47150807130851,6.443608399765293,3.3923406095373316,4.391998620968158,1.2765160373615594,3.0141074985232272,1.1460292048402965,0.5307499332920413,3.0770645537837944
1.25,8.738099138886186,49.78966938887513,6.635815876140553,3.1582900669166394,4.464084244260986,1.2151505855541553,2.927150092518378,0.9290466138067162,0.6520091284734277,3.0219969475682547,8.336250800087853,49.22374585979456,6.414792333809818,3.3751849549139825,4.38736594554906,1.275145961222272,3.0086842685577806,1.1435871464576033,0.5350743912526164,3.0803544076245544
1.33,8.72627754909968,49.53661108067804,6.60188643848291,3.1323591926855343,4.45161994185206,1.211152257719559,2.9169699814395034,0.9266220239592321,0.6589218540428226,3.019150674732353,8.318019445555008,48.98063329346782,6.386571761548816,3.35847528605618,4.383021034422796,1.2739075925041294,3.0034669849879885,1.1411944036183599,0.5392851430568877,3.083453339067048
1.42,8.714081213153603,49.25810708395434,6.564643051505467,3.1040191790151703,4.438197851383539,1.2069531126192778,2.9059355760511734,0.9240281708616143,0.6664512108317268,3.01597111867324,8.29876906346451,48.71268943536307,6.355535418811862,3.340210000951531,4.3784769776620225,1.272671859223056,2.9978437112730267,1.1385615154097406,0.5438863244467362,3.086711425010678
1.5,8.704220427924863,49.01604717575374,6.532362023425431,3.0795678067211836,4.426800659626206,1.2034862936089294,2.8964989664396836,0.9218414663133331,0.6729240084426061,3.0131648474040524,8.282777516503138,48.47945736505915,6.328580270651612,3.3244480518455144,4.374743565658025,1.2717133687748454,2.9930640637939994,1.136273568100328,0.5478554506688625,3.0894046463568583
1.58,8.69528237425272,48.779162985198546,6.500856717499564,3.0558126706329,4.415905637587271,1.2002695963982268,2.8874122398716695,0.9197667077882062,0.6791897811318313,3.0103774004015538,8.267839996634226,48.25087493994244,6.302220616185834,3.3091320885050437,4.371297917946858,1.2708865857477796,2.9884903627106247,1.1340349363343651,0.5517108707346853,3.0919069453047734
1.66,8.68726705213717,48.54745451228875,6.470127133727867,3.0327537707503187,4.405512785266733,1.1973030209871705,2.878675396347131,0.9178038952862337,0.6852485288994019,3.007608777665744,8.253956503857772,48.02694216001294,6.276456455414527,3.29426211093012,4.3681400345285235,1.2701915101418586,2.9841226080229046,1.1318456201118519,0.55545258464420455,3.0942183218544237
1.67,8.6863300164353,48.518854870821976,6.46634047872037,3.0299203623732094,4.404248987534991,1.1969497857498261,2.877607892058058,0.9175664149282402,0.6859913159305445,3.0072640234050194,8.252295178540654,47.99927749069899,6.273277805968506,3.2924347221073944,4.367765532528072,1.2701138863691677,2.9835911192928837,1.1315754230831865,0.5559123039187793,3.0944938196920018
1.75,8.679352767320923,48.29296908026326,6.436483582372111,3.007644728222044,4.394421076147649,1.1942645973633714,2.869264666957429,0.9157295417023162,0.6918171606612542,3.0045165779692344,8.239597466243216,47.7805755616051,6.2481835756034805,3.2780664785187104,4.364931383939173,1.2695669816120343,2.979455054300274,1.1294415868470542,0.5595260984024572,3.096590408543603
1.83,8.673298249763143,48.07225900734996,6.407402408178021,2.9860653302765807,4.385095334478706,1.1918295307765625,2.8612713249002755,0.9140046144995465,0.6974359804703095,3.0017879568001384,8.227953781038238,47.56652327769842,6.223684838932927,3.2641442206955724,4.362384999643106,1.2691517842760456,2.975524935703318,1.1273570661543717,0.5630261867298313,3.0984960749969392
