fineAGE,sex,ct,Left.Cerebellum.White.Matter,Left.Cerebellum.Cortex,Left.Thalamus.Proper,Left.Caudate,Left.Putamen,Left.Pallidum,Left.Hippocampus,Left.Amygdala,Left.Accumbens.area,Left.VentralDC,Right.Cerebellum.White.Matter,Right.Cerebellum.Cortex,Right.Thalamus.Proper,Right.Caudate,Right.Putamen,Right.Pallidum,Right.Hippocampus,Right.Amygdala,Right.Accumbens.area,Right.VentralDC
6.08,1,10,7.827694981775165,38.48085009161891,4.9957242088072125,2.2390468248417075,3.6741814507663166,1.046157813436542,2.542431499613068,0.7955296603787645,0.450764855785827,2.309743826069634,7.430817989197349,37.6013712073201,5.0251003622063966,2.5966611456454114,3.794873258431108,1.1091642917260178,2.652106143351441,0.8869217091591535,0.4206113564778273,2.3334247809990543
3.75,0,10,7.516753024354948,39.02064126121433,4.960177948609795,1.854849062523329,3.374477542174173,0.7025884627030355,2.4226074660817227,0.6803585291399616,0.437672442833979,2.36779863764614,6.958658564142979,38.54576444182478,4.723757457713225,2.494750989840382,3.5416486139944605,0.8541635464890074,2.563777255423997,0.8359930008861037,0.38327573374661195,2.368142833338495
6.58,1,10,7.948951016932004,38.93717448826296,5.0891058216504845,2.4271045286121335,3.794008887329378,1.1520921539906805,2.6165722537385534,0.830909301027688,0.43961206626221516,2.2993666758537974,7.681030711066292,37.91271546024211,5.188970838025105,2.6678326104680057,3.8810247541943452,1.1798497438666882,2.713607951496859,0.9072107830234353,0.42885341744074557,2.3337577154283515
6.33,0,10,8.14785746303429,38.68374023112413,5.038627309397786,2.329266890335462,3.731643168469697,1.0978480827103594,2.6232236409168816,0.8127387092948495,0.4460475330173109,2.304463335596922,7.743290323977117,37.734339988140476,5.10390652249389,2.630069213185859,3.8365439072265897,1.1438823437518466,2.780409219843897,0.8967349769184336,0.42517133678370145,2.3337796971292737
6.25,0,10,8.12821939284521,38.61331618648335,5.024074112419894,2.2995430958554084,3.7127218634787917,1.0810254499674086,2.6115360617785424,0.8071274349631716,0.4477370724984024,2.306133091764767,7.703737212769028,37.68684973026657,5.077973708974054,2.6189047716970104,3.8229035500508726,1.1326345763568524,2.770666089342798,0.8935202981831337,0.42379468187619657,2.3336898315088392
2.75,1,10,7.07426613804171,40.59880658477239,5.146731009616216,1.986802720497105,3.3764918460265854,0.6420217590450046,2.3972769949640194,0.655102431514062,0.4139316304260613,2.397612116421435,6.738003186460419,40.16071768232587,4.905366172017178,2.5670387098643284,3.507832188393067,0.7889832749424817,2.4352798342913475,0.8416990454886644,0.3886008895596594,2.4249443381497233
4.42,0,10,7.664415800663918,38.41570100016829,4.902996422602615,1.870779636726506,3.4170246537426454,0.7738872969773848,2.439725361009312,0.7052530769280532,0.44907937675731674,2.3494691124915525,7.064403867469158,37.87019014568666,4.714759345667719,2.4853036450079227,3.5894602650262546,0.9136898992759719,2.6007096548651636,0.8421198658403627,0.3880785215660441,2.3456334553985485
5.17,0,10,7.8496101658144255,38.16916494837694,4.903529759057614,1.9832659724340265,3.5064341072897207,0.8809004806081625,2.487998546291116,0.7409256389007606,0.4557540787877041,2.3305172251328563,7.264652917988965,37.50081527166707,4.802850561915161,2.5118356684004173,3.6669236583396043,0.994055359599334,2.6581153072996533,0.8575768382700815,0.4010381483486997,2.334473032001888
3,0,10,7.374551875118023,40.12844907743649,5.088729626871908,1.9363695188802292,3.368632268329147,0.6518363293589484,2.432557006003252,0.6601053417978151,0.4205573583843918,2.389883000633535,6.9226610783622355,39.68886933527857,4.840893038399296,2.542433785245845,3.512070997535138,0.8024870563316893,2.538462540896843,0.8385420120917447,0.3861769261849039,2.4083986287467987
5.92,0,10,8.044591259118615,38.37752595526384,4.972241800468829,2.185543172718474,3.639979571242808,1.0144542315018772,2.5670231709408777,0.7850181602009707,0.45294967231658373,2.3132198143386145,7.550798012388009,37.54010061917965,4.978282214368095,2.57756565946789,3.7696788352026154,1.087620577928397,2.732527201525336,0.8810116376781496,0.41735954298730044,2.3331655286202353
2.08,1,10,6.969359034138437,42.10860785729416,5.339530585357643,2.176980149272206,3.421738124757291,0.6337496653987159,2.441328496496533,0.645896113190823,0.39359613619043377,2.4192326528257424,6.805940473426575,41.649180728459235,5.138273090771138,2.654456909863957,3.510329829118992,0.7624403856102818,2.4319755065017583,0.8559621356420598,0.3963091628649281,2.474707271348713
1.66,1,10,6.90639171368713,43.24016322245062,5.488134208567228,2.3346794635496697,3.46806187749766,0.6421548026253765,2.481456656318343,0.6431732434789741,0.37847138658941604,2.433459086563379,6.884317414217222,42.74854458173643,5.3258259134429835,2.7252073381663116,3.522187584135979,0.7532115746073069,2.4367605382642012,0.8692058092731381,0.4002637939954905,2.5080270475088815
3.33,0,10,7.43418252528663,39.584970320669584,5.023767271985973,1.8875111530455362,3.3657666323389384,0.670277843936784,2.424390631107647,0.6680396111206477,0.4285974484509822,2.3799620494063407,6.927749750375481,39.13555624286613,4.775190842698095,2.5166241656498842,3.521969201043922,0.8232005056677942,2.547517525870263,0.8361557579939294,0.38394934517692225,2.3888237494405633
1.83,1,10,6.931920156081581,42.76496771751184,5.425409483017383,2.267455835502331,3.4476444267096333,0.6374825676022448,2.4640525848714874,0.6439972583516628,0.38485234135017166,2.4276382656977735,6.849264952905248,42.28812569942191,5.246298003500683,2.695089447931764,3.5164325492505606,0.756245021031789,2.434187825438421,0.8634489305338529,0.3988626692870003,2.4944785749212612
2.5,0,10,7.291768680856567,41.1197082097392,5.212307804022327,2.0485662572901955,3.3892554248802487,0.635842671632152,2.4562741655998037,0.6509574513503216,0.40681352213952365,2.4055250629387177,6.947234391051306,40.677972720654516,4.982247584046035,2.595998964224475,3.506403577423179,0.7774135188031687,2.5309732641964153,0.8460307120295161,0.3914153717026233,2.442736391238163
3,1,10,7.116672814996691,40.1284490774365,5.088729626871908,1.9363695188802283,3.368632268329147,0.6518363293589486,2.3871268284639635,0.6601053417978151,0.4205573583843918,2.389883000633535,6.730584835557113,39.68886933527857,4.840893038399296,2.542433785245845,3.5120709975351385,0.8024870563316893,2.439962224008058,0.8385420120917446,0.3861769261849038,2.4083986287467987
4.08,1,10,7.329204996630865,38.67731721026584,4.925214223904597,1.8523608785373162,3.3910317507626084,0.7347357621397395,2.3825415469687306,0.6918072816853544,0.4438139006602337,2.358605656107305,6.81001237432002,38.172261846886485,4.708353444342269,2.486188476021411,3.562675202265096,0.8819700784693578,2.4817771077372877,0.8380564302008838,0.3847240799567968,2.355445502147928
6.66,0,10,8.224754108190913,39.02894836819105,5.106858872514321,2.4599390085321278,3.8150016424086726,1.1699765390354897,2.675133277970519,0.8369277610249504,0.43716648471221753,2.297774569786044,7.916633003650399,37.97938550451327,5.217400495084734,2.6808367432397344,3.8958521390779923,1.191616276938578,2.822652694343567,0.910695001165505,0.4298032679605547,2.3336118397521983
2.41,0,10,7.277649145096225,41.319605994723304,5.237769910783337,2.0735195560741895,3.3950508127506094,0.634515920110036,2.4619947222653504,0.6496732823241542,0.40412125047808906,2.4084187254474925,6.955796735977165,40.875300092478504,5.012894997707926,2.6074908405148878,3.5065772139865707,0.7737297138551089,2.5304216286620513,0.8478787003495247,0.39247583623256155,2.4493983998025293
2,0,10,7.215229917978521,42.31314381256557,5.366187627819956,2.204823574218546,3.4294945860562436,0.63453841674988265,2.493658631582114,0.6451988874042527,0.3908758572032228,2.421902448161435,7.010816122276708,41.84870287115587,5.171652831783904,2.6669854621697624,3.51197694999996,0.7602347678009137,2.5309802019180534,0.8582305138342436,0.3971761358756436,2.4809974063880214
3.08,1,10,7.1307284710405785,39.988609592732665,5.071769111336702,1.9226623240942997,3.367152928510161,0.6557373658949687,2.3846004089611137,0.6618891044725367,0.42257911532841547,2.3874485086314534,6.7302646846615,39.54746775742205,4.822926260921248,2.53548005500937,3.5140209303145666,0.8072097956585629,2.4418569319979517,0.8377783688106719,0.3855213544030022,2.403403528606041
1.67,1,10,6.907901162480529,43.21156358098385,5.484347553559731,2.330600755422017,3.466798079765918,0.641832073168112,2.48038915202927,0.6432113320107085,0.37885725430521805,2.4331143323026545,6.882130102874849,42.72087991242247,5.321016429018629,2.7233799493435864,3.521813082135526,0.7533633721952486,2.4365852719824797,0.8688523407258246,0.40019085671467397,2.507230181080438
2.08,1,10,6.969359034138437,42.10860785729416,5.339530585357643,2.176980149272205,3.421738124757291,0.6337496653987157,2.441328496496533,0.6458961131908231,0.39359613619043365,2.4192326528257424,6.805940473426575,41.649180728459235,5.138273090771138,2.6544569098639568,3.5103298291189913,0.7624403856102819,2.431975506501758,0.85596213564206,0.3963091628649281,2.4747072713487124
4.17,0,10,7.607086772903394,38.59896791936057,4.9179694671078895,1.8551844092633574,3.3970295048727337,0.7445115203069874,2.4304679524415898,0.6952027012690964,0.4453200623546937,2.3561540697365517,7.016850546034016,38.084128486255885,4.7078872275894685,2.485170296693753,3.569259530266174,0.8900682606898183,2.5853468222144182,0.8389440582851888,0.3854315329570052,2.3525299422160666
1.25,0,10,7.100442690678434,44.482378099037,5.653822950979915,2.5147547711198732,3.526633336491914,0.6605443728699263,2.5753615300288786,0.6427152923008091,0.36139048822610964,2.4478472564658897,7.1795837530808,43.94534828151805,5.536394341409729,2.806130182150174,3.5414134951565144,0.7498839638598651,2.545020735210891,0.8852752588210355,0.40194595729201554,2.5403064512261397
3.42,1,10,7.193349820193782,39.452033382722924,5.008341070594519,1.8777218604737445,3.3664680652003414,0.6763762064641674,2.3777665087777744,0.6704688008277766,0.4306530598601719,2.3773119258478532,6.739995576651817,38.99838365565167,4.7611362111921824,2.5109022302012285,3.525518515019041,0.8294079152544354,2.4520547811305624,0.8358525833039667,0.3835833161517389,2.3839776911002786
2.67,1,10,7.061143503997179,40.75999590476353,5.166891379037368,2.0053471217993115,3.380042635933961,0.6396468828013855,2.4012466820212053,0.6536831849444866,0.4117094402360538,2.4001242585236082,6.742432667627395,40.321299046579625,4.928633507208161,2.5758321313836823,3.5070692833215693,0.7850685453538068,2.434177645207364,0.8429570526160004,0.3894707116304801,2.4305136833144023
6.17,0,10,8.108289787395666,38.54806785948798,5.0102966375961735,2.2706160775468103,3.694302728206284,1.0644669773384026,2.6001983656836782,0.8016144615265505,0.4492554044438548,2.3078216721993012,7.6651497337292875,37.64400911757988,5.052704760056598,2.608186315973709,3.8095509571679886,1.1215161435206629,2.7611170917001022,0.890375068675495,0.4223369335414008,2.333573244214743
6.25,0,10,8.128219392845212,38.613316186483345,5.024074112419894,2.2995430958554084,3.7127218634787926,1.0810254499674086,2.611536061778542,0.8071274349631716,0.44773707249840244,2.3061330917647673,7.703737212769026,37.686849730266566,5.077973708974053,2.618904771697011,3.822903550050873,1.1326345763568524,2.7706660893427975,0.8935202981831339,0.42379468187619657,2.3336898315088392
2.17,1,10,6.982941223673045,41.88469150761185,5.310468642974945,2.146928402588755,3.4136123555374924,0.6333178085641892,2.4339842638323588,0.6467819413073634,0.3965743504644358,2.4162516339543636,6.792737841245725,41.43027609693834,5.102091394538366,2.640895380880306,3.5088207863841787,0.7651708571595954,2.4316371698056862,0.8535540156438116,0.3952936043310999,2.4676905594183625
6.42,1,10,7.911665913336987,38.76915388134304,5.0559268863853175,2.3636375351559153,3.7535298863259854,1.1170859716051251,2.59136020948363,0.8191690960398513,0.443936226731492,2.302607360789372,7.5968643698004374,37.79332430726145,5.133845377864333,2.6431623022211927,3.852233277305546,1.1566889142090888,2.693102033062764,0.9004324998516449,0.42661202171750723,2.3338341161165803
2.58,0,10,7.304492733977921,40.947520489751575,5.190499025023566,2.0275859012820714,3.3846375243212794,0.6374219021385191,2.4515609770752325,0.6521911286029718,0.40914759034629655,2.40297291926983,6.940684492359756,40.50751086037794,4.956315641337505,2.586257822953335,3.50655498337241,0.7809029055902823,2.531667501726591,0.8445163935493675,0.3904872685267087,2.4369221812242423
2.25,0,10,7.252983301172799,41.691153952336926,5.28546001009024,2.1213619066836396,3.4069230048901336,0.6333380180322191,2.473257985292739,0.6476599417069421,0.39915191690905677,2.413621840185385,6.974141623281765,41.24063445026452,5.0711689266105475,2.6293145483262865,3.5077851646254774,0.7678181597617295,2.530040430106332,0.8515415257706187,0.39436549475942195,2.4615182232591244
1,1,10,6.800362837344224,45.30654442978932,5.764852215356838,2.636254317704432,3.5688209222829173,0.6766942124124468,2.5639993051647245,0.643477645475046,0.3496147276822024,2.4568631873594766,7.06338862999792,44.7350434675348,5.676733234276801,2.8612224149603063,3.5568460732197367,0.7506581498849014,2.4549362172346028,0.8965594152299483,0.40141995492412785,2.5591861699151166
6.75,1,10,7.986373848589027,39.13838058310816,5.127758285123541,2.4977290566772337,3.839218741614399,1.1903961359643491,2.6448935225358947,0.8438170025139726,0.43418181862601124,2.296005951341098,7.774671703000514,38.059947083331146,5.250039739279866,2.695999484968307,3.912876915328371,1.204999752212151,2.7362471969883457,0.9146879198657675,0.43072244012431404,2.3333423894751055
2,1,10,6.9573508573610114,42.31314381256557,5.366187627819956,2.204823574218546,3.4294945860562436,0.6345384167498828,2.4482284540428267,0.6451988874042527,0.3908758572032226,2.4219024481614353,6.818739879069378,41.848702871155886,5.171652831783905,2.6669854621697624,3.511976949999959,0.7602347678009135,2.4324798849638363,0.8582305138342436,0.3971761358756436,2.4809974063880214
2.83,1,10,7.087597493291994,40.44279298242667,5.127346362349234,1.9694191340236284,3.373443225837609,0.6447689692093375,2.3936571909503086,0.6566095341534863,0.41610356235307294,2.39511879858595,6.734570739513409,40.00478596325932,4.883370370763496,2.5586912741105206,3.5088828577573956,0.793096067770338,2.436574074834417,0.8405613624403518,0.3877712946790065,2.4195029420549288
3.42,1,10,7.193349820193782,39.452033382722924,5.008341070594518,1.8777218604737445,3.3664680652003405,0.6763762064641673,2.377766508777775,0.6704688008277764,0.4306530598601717,2.377311925847853,6.739995576651817,38.99838365565168,4.7611362111921824,2.5109022302012285,3.525518515019041,0.8294079152544355,2.4520547811305633,0.8358525833039667,0.3835833161517389,2.3839776911002786
