fineAGE,sex,ct,lhCortexVol,rhCortexVol,CortexVol,lhCerebralWhiteMatterVol,rhCerebralWhiteMatterVol,CerebralWhiteMatterVol,SubCortGrayVol,TotalGrayVol,lh_MeanThickness_thickness,rh_MeanThickness_thickness,MeanThickness
6.08,1,10,0.24235443302498538,0.2423275208753613,0.48516256821164516,0.15635245337001683,0.15664615749054978,0.31322215530617836,0.041324876324852766,0.6210268203798534,2.800682127964956,2.8053642231154963,5.611287397251903
3.75,0,10,0.2515673393364168,0.2516782972629248,0.5037262509105898,0.14492945522970815,0.14515830793809315,0.29027628291311547,0.03921645886507636,0.6430337551184463,2.8521486720553466,2.8614533461655167,5.717881177765961
6.58,1,10,0.24023069710955205,0.24015469853105947,0.4808660099519648,0.1576997157459895,0.1579650062158114,0.3158895704503134,0.04232091326832477,0.6180214634340598,2.7799853406814377,2.783932221326274,5.569194380786528
6.33,0,10,0.24129904551751677,0.24124845148629528,0.48302811131515144,0.15546838071634397,0.1556259039562353,0.31128686432646757,0.04180109955583355,0.6220956628560759,2.7686666492496967,2.775901444019124,5.54895862454446
6.25,0,10,0.2416381796658799,0.24159535126279152,0.48371414524000655,0.15524936985535048,0.1554113668943106,0.3108531103228296,0.04164389826106443,0.6225817412405658,2.7719557198317757,2.7793064914952996,5.55564708938024
2.75,1,10,0.25517609799062635,0.255300335809674,0.5109570481115392,0.14050676698973766,0.140845457335794,0.2815721976542769,0.039720585228271765,0.6514474344873441,2.893853425511957,2.9001291342314364,5.799125642757021
4.42,0,10,0.24903345542553904,0.24912009589892797,0.4986341656357298,0.14835592247368198,0.1485807252535393,0.297125708680843,0.03936603420156231,0.636552333675926,2.83495125796023,2.844049812942303,5.683295076916359
5.17,0,10,0.2460865913396084,0.24613133367171397,0.492698539322609,0.15161760480789024,0.15182582876204861,0.3036335273765911,0.039981380756188525,0.630165863653416,2.811970361411906,2.8205623798405073,5.636855080571603
3,0,10,0.25429334967782424,0.25441685152227084,0.509190815511335,0.14051994224158718,0.14074128312843948,0.28144956630798157,0.03951221780699738,0.6511579301165034,2.8676694488542998,2.876929047145545,5.748872750487475
5.92,0,10,0.24302307914917617,0.24301041934879508,0.4865141128092898,0.15427303855728539,0.15445195975234788,0.3089165760497762,0.04104361588267875,0.6246971955546105,2.785049260770604,2.792843398082848,5.582255705552601
2.08,1,10,0.2574779506763896,0.25759566609832113,0.5155542310859513,0.13587437700523522,0.13619180739701414,0.27228651379189034,0.04054793503278406,0.6597545067253006,2.9032131607455045,2.9091154589372366,5.817481470186864
1.66,1,10,0.25887343510427924,0.25898075276854143,0.5183348021840657,0.13272378798884676,0.13302271345247815,0.26596723759299373,0.041263008303809745,0.6653354093392768,2.9074770570735025,2.913026719209836,5.825667785115372
3.33,0,10,0.2531082761740795,0.2532281687863494,0.5068170592716715,0.1425348177820094,0.1427610314589306,0.28548421328102036,0.039321266439910525,0.6474702199203576,2.861325740207015,2.8706410655087344,5.7362416939426755
1.83,1,10,0.2583130028753511,0.25842511486214714,0.5172187320487411,0.13402192912455727,0.13432882536008145,0.26857130895371695,0.040955623165874734,0.6630418000498354,2.905900046428698,2.911603448556656,5.822662519886288
2.5,0,10,0.25604588540292833,0.2561691365308877,0.5126956362450548,0.1372434621468325,0.13745272630077587,0.27488466078091267,0.03998369510233553,0.6570839367394883,2.8758276311130584,2.8848953207678605,5.765000810816126
3,1,10,0.2542933496778242,0.25441685152227084,0.5091908155113349,0.14211132656018094,0.14245534838750304,0.28478660763878005,0.03951221780699738,0.6485354201716129,2.8895554341551897,2.895910911383842,5.79060831377746
4.08,1,10,0.25033094066669126,0.2504314676048932,0.5012430225828391,0.14826896571140652,0.14861977361963538,0.2971090724070252,0.039241920734817186,0.63712736782384,2.8659572589080424,2.872285347358424,5.743395557894477
6.66,0,10,0.2398860882768177,0.23980159641620477,0.4801682990043804,0.15629888902147535,0.15643642757515122,0.3129288005834272,0.04249623034201754,0.6202009704980794,2.754625357886371,2.7613467089282184,5.520387405821655
2.41,0,10,0.2563558360429146,0.25647831025352147,0.513314760607675,0.13662508079657348,0.13683157056893694,0.2736451686409753,0.040091754828270806,0.6581939381824244,2.8771101262864467,2.886129520923321,5.767518739001858
2,0,10,0.25774657752603175,0.25786268727474687,0.5160898791120198,0.13369753823660535,0.13388907057613003,0.2677754130215936,0.040672611794511364,0.6634178553285643,2.882234611552716,2.8909809060986817,5.777502480622889
3.08,1,10,0.2540081328755419,0.25413103538112264,0.508619782567905,0.14261055898926583,0.14295598830228928,0.28578647756395825,0.03945713500464978,0.6476251133423885,2.8880876134649753,2.89446177973082,5.787691295084445
1.67,1,10,0.258840634402104,0.2589482561354596,0.5182695048488084,0.1328010114523334,0.13310042388116047,0.26612216015641477,0.04124425691385484,0.6651991858274888,2.907389895587276,2.9129490156092404,5.825502609257449
2.08,1,10,0.2574779506763897,0.2575956660983211,0.5155542310859513,0.13587437700523522,0.13619180739701411,0.2722865137918904,0.04054793503278406,0.6597545067253006,2.9032131607455045,2.9091154589372366,5.817481470186864
4.17,0,10,0.2499898216531822,0.2500869828422871,0.5005574188067259,0.14713397312120965,0.14736147463554508,0.2946842646661352,0.039265171232486365,0.6388851129998081,2.8417359559001203,2.8509386131638204,5.696961880437001
1.25,0,10,0.2602004089569355,0.2602928866441149,0.520973909912302,0.12787344521725375,0.1280277765573196,0.2560908996971457,0.04210290454290379,0.6736835681485988,2.888561578801387,2.896582993548361,5.789455503104497
