rh.aparc.DKTatlas.area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV	rh_temporalpole_area
m091825/	932.0	2381.0	1813.0	345.0	2437.0	4653.0	3162.0	1067.0	4664.0	2720.0	2822.0	1283.0	3514.0	477.0	1437.0	1342.0	652.0	1380.0	1385.0	4413.0	1234.0	4622.0	4235.0	810.0	4110.0	8357.0	4826.0	4549.0	3604.0	385.0	1835.0	81447.6	1106637.0	1390324.71683	0.0
m091826/	614.0	1890.0	1388.0	286.0	2019.0	4051.0	2623.0	872.0	4193.0	1829.0	2205.0	1152.0	3566.0	599.0	1339.0	1224.0	491.0	1270.0	794.0	3721.0	985.0	3893.0	3395.0	597.0	3770.0	6504.0	3729.0	3941.0	2854.0	328.0	1476.0	67596.5	932858.0	1263645.44405	0.0
m091835/	735.0	1787.0	1931.0	384.0	2541.0	5918.0	2825.0	1050.0	4982.0	2020.0	3228.0	943.0	3665.0	633.0	1421.0	1185.0	580.0	1188.0	1574.0	4378.0	1377.0	4238.0	4562.0	757.0	3309.0	7318.0	4427.0	4619.0	3152.0	296.0	1742.0	78764.0	1028393.0	1165207.07628	0.0
m091942/	615.0	2146.0	1829.0	346.0	2686.0	5412.0	3419.0	1023.0	4354.0	2230.0	2464.0	1279.0	3995.0	510.0	1690.0	1589.0	590.0	1354.0	1169.0	4298.0	1292.0	4583.0	4170.0	562.0	3808.0	7960.0	4983.0	4836.0	3690.0	326.0	1770.0	80978.1	1088593.0	1124028.97488	0.0
m092150/	782.0	2087.0	1850.0	414.0	2990.0	6164.0	3928.0	1010.0	5169.0	3094.0	2815.0	1462.0	4994.0	801.0	1838.0	1375.0	600.0	1358.0	1454.0	4989.0	1594.0	5081.0	4450.0	698.0	4897.0	10065.0	5488.0	4913.0	3954.0	357.0	1892.0	92561.3	1242215.0	1526063.86017	0.0
m092652/	521.0	1294.0	1637.0	291.0	2513.0	4258.0	2614.0	979.0	3826.0	1673.0	2136.0	850.0	3302.0	548.0	1326.0	1077.0	422.0	1008.0	1036.0	3875.0	1122.0	3571.0	3622.0	405.0	2481.0	6854.0	3806.0	4135.0	2737.0	284.0	1587.0	65789.7	928337.0	1152963.93924	0.0
m093097/	558.0	2364.0	2013.0	343.0	3006.0	5297.0	3461.0	1107.0	5009.0	3116.0	2824.0	1594.0	4515.0	760.0	1682.0	1759.0	656.0	1406.0	1352.0	4605.0	1319.0	4427.0	5022.0	665.0	4227.0	9147.0	5115.0	5893.0	5121.0	442.0	2049.0	90855.5	1243772.0	1178508.31992	0.0
m093215/	752.0	1936.0	1681.0	339.0	2924.0	5570.0	3247.0	1140.0	4897.0	2429.0	2701.0	1192.0	3673.0	687.0	1510.0	1368.0	664.0	1412.0	1163.0	4114.0	1373.0	4745.0	4197.0	754.0	3882.0	8339.0	4419.0	4194.0	3994.0	314.0	1777.0	81384.0	1179975.0	1370318.60371	0.0
m093510/	634.0	2220.0	1467.0	261.0	2020.0	5137.0	3183.0	902.0	4192.0	1939.0	2040.0	974.0	3745.0	519.0	1426.0	1414.0	543.0	1138.0	947.0	4291.0	1182.0	3973.0	3638.0	571.0	3293.0	7019.0	4188.0	4019.0	3053.0	285.0	1676.0	71889.8	968282.0	985351.655316	0.0
m093798/	1004.0	1873.0	1990.0	442.0	2457.0	4613.0	3657.0	1040.0	4300.0	2723.0	2591.0	1307.0	4077.0	590.0	1541.0	1625.0	780.0	1481.0	1454.0	4325.0	1311.0	4006.0	5274.0	840.0	3593.0	7488.0	4994.0	4910.0	3873.0	345.0	1797.0	82298.9	1073105.0	1177003.30405	0.0
m094074/	948.0	3230.0	2675.0	394.0	3231.0	5724.0	3641.0	1317.0	6310.0	3419.0	3440.0	1421.0	4146.0	593.0	1558.0	1823.0	731.0	1623.0	1833.0	4477.0	1500.0	4813.0	5193.0	948.0	4563.0	9506.0	5058.0	6054.0	4199.0	469.0	2045.0	96881.8	1274119.0	1235468.77356	0.0
m094095/	613.0	1637.0	2056.0	282.0	2584.0	4420.0	2653.0	880.0	4773.0	2137.0	2469.0	1052.0	3313.0	564.0	1381.0	1394.0	541.0	1420.0	1312.0	3932.0	1126.0	4032.0	3864.0	515.0	2997.0	7256.0	4068.0	4117.0	2896.0	308.0	1571.0	72163.7	1014202.0	1309083.67145	0.0
m094128/	496.0	1604.0	1958.0	299.0	1885.0	4011.0	2364.0	874.0	4283.0	2480.0	2497.0	1061.0	3490.0	454.0	1388.0	1080.0	474.0	1188.0	1303.0	3255.0	951.0	3464.0	3449.0	408.0	3745.0	6668.0	3699.0	4409.0	2751.0	354.0	1509.0	67850.5	976251.0	1049454.6954	0.0
m094253/	652.0	1936.0	2104.0	407.0	2488.0	6473.0	3338.0	1181.0	4861.0	3068.0	2981.0	1501.0	3802.0	571.0	1481.0	1239.0	554.0	1274.0	1562.0	4374.0	1353.0	4012.0	4516.0	727.0	4032.0	8970.0	4685.0	4319.0	3588.0	352.0	1783.0	84185.1	1180774.0	1350873.93846	0.0
m094291/	1244.0	1879.0	2255.0	429.0	2597.0	4909.0	3166.0	906.0	5050.0	2478.0	2716.0	1353.0	3937.0	679.0	1673.0	1355.0	581.0	1722.0	1528.0	4021.0	1731.0	3989.0	4183.0	675.0	4718.0	8475.0	4090.0	4863.0	3258.0	360.0	1927.0	82748.1	1078615.0	1084302.96581	0.0
m094904/	553.0	1929.0	1718.0	265.0	1619.0	4246.0	2115.0	815.0	3780.0	1627.0	2212.0	835.0	3198.0	512.0	1488.0	1032.0	426.0	1088.0	1357.0	3859.0	1020.0	3724.0	3153.0	390.0	2870.0	6141.0	3921.0	3835.0	2949.0	308.0	1553.0	64538.6	860171.0	1064959.31347	0.0
m095118/	615.0	2005.0	1710.0	347.0	2946.0	5082.0	3119.0	962.0	4650.0	2680.0	2507.0	1196.0	3483.0	564.0	1717.0	1190.0	604.0	1128.0	1014.0	4124.0	1133.0	4757.0	4205.0	527.0	3523.0	8150.0	4863.0	4145.0	2941.0	295.0	1674.0	77856.9	1072213.0	1300114.1228	0.0
m095681/	705.0	2224.0	1715.0	318.0	2978.0	5214.0	4010.0	960.0	6055.0	2682.0	2892.0	1112.0	4313.0	632.0	2005.0	1543.0	648.0	1505.0	1149.0	4547.0	1277.0	4821.0	4069.0	763.0	4617.0	8693.0	5277.0	4836.0	3692.0	312.0	1655.0	87216.7	1169325.0	1121989.06912	0.0
m095686/	616.0	2690.0	1829.0	346.0	2658.0	6685.0	3349.0	1074.0	4794.0	2972.0	2848.0	1444.0	4762.0	705.0	1764.0	1727.0	549.0	1275.0	1057.0	5730.0	1277.0	4783.0	5153.0	693.0	4657.0	9247.0	5184.0	5003.0	4651.0	339.0	1753.0	91613.3	1261107.0	1516633.6625	0.0
m095926/	750.0	1578.0	1990.0	381.0	2635.0	5709.0	3545.0	1159.0	4986.0	2588.0	3060.0	1250.0	4108.0	684.0	1651.0	1138.0	633.0	1181.0	1074.0	5001.0	1352.0	4261.0	4092.0	660.0	3721.0	9576.0	4111.0	4418.0	3525.0	331.0	1872.0	83022.6	1123064.0	1366781.77384	0.0
m096004/	590.0	2344.0	2272.0	319.0	2774.0	5618.0	3723.0	886.0	4843.0	2920.0	2392.0	1167.0	4436.0	626.0	1827.0	1622.0	740.0	1372.0	1158.0	4603.0	1164.0	4518.0	4507.0	615.0	3806.0	8710.0	4782.0	4919.0	3610.0	322.0	1949.0	85135.1	1099543.0	1042021.72972	0.0
m097037/	703.0	1902.0	1711.0	413.0	3467.0	5563.0	3306.0	988.0	4972.0	2443.0	2684.0	1316.0	3951.0	859.0	1542.0	2029.0	725.0	1470.0	883.0	4431.0	1398.0	4620.0	4219.0	749.0	2968.0	7553.0	5327.0	5127.0	3978.0	353.0	2095.0	83743.7	1105031.0	1007177.59215	0.0
m097039/	677.0	1787.0	1579.0	415.0	2285.0	5532.0	2976.0	893.0	4630.0	2433.0	2615.0	1164.0	4170.0	650.0	1494.0	1191.0	527.0	1218.0	1442.0	4050.0	1075.0	3236.0	3980.0	517.0	3198.0	7171.0	4119.0	4371.0	3085.0	313.0	1671.0	74464.2	1001610.0	1326236.88892	0.0
m097241/	639.0	1502.0	1467.0	275.0	1718.0	3917.0	2415.0	747.0	3407.0	1668.0	2078.0	884.0	3222.0	519.0	1422.0	1081.0	423.0	1146.0	1110.0	3586.0	910.0	3717.0	2993.0	556.0	2886.0	6265.0	3487.0	4508.0	2741.0	348.0	1414.0	63051.7	913546.0	1183963.57412	0.0
m097266/	999.0	2224.0	2337.0	444.0	2482.0	6775.0	3281.0	1056.0	5205.0	3074.0	3374.0	1393.0	5030.0	762.0	1582.0	1642.0	665.0	1630.0	1563.0	4179.0	1600.0	4817.0	5408.0	736.0	4442.0	10279.0	4818.0	5825.0	3873.0	382.0	1722.0	93599.1	1267154.0	1549280.36286	0.0
m097285/	548.0	2041.0	1763.0	425.0	2204.0	4732.0	3999.0	941.0	4401.0	2525.0	2633.0	1194.0	3919.0	521.0	1573.0	2033.0	681.0	1956.0	1199.0	4120.0	1038.0	3622.0	3834.0	485.0	4075.0	6820.0	4671.0	4297.0	2822.0	316.0	1884.0	77272.4	989184.0	873038.673176	0.0
m097294/	756.0	2009.0	1765.0	329.0	2808.0	5858.0	3374.0	1070.0	4587.0	2298.0	2668.0	1151.0	4187.0	702.0	1483.0	1389.0	526.0	1467.0	1253.0	4273.0	1257.0	4317.0	4120.0	641.0	3769.0	8339.0	4871.0	4729.0	2895.0	343.0	1703.0	80935.1	1053655.0	1000448.8994	0.0
m097299/	1058.0	2695.0	2231.0	529.0	2474.0	5010.0	3940.0	854.0	4763.0	3666.0	3180.0	1483.0	4584.0	634.0	1606.0	1762.0	693.0	1517.0	1670.0	4596.0	1287.0	5398.0	4453.0	957.0	4661.0	9200.0	5087.0	5444.0	4193.0	405.0	1984.0	92010.8	1205823.0	1359195.66057	0.0
m097315/	577.0	1617.0	1547.0	322.0	1769.0	5361.0	2210.0	950.0	4098.0	2083.0	2641.0	1088.0	3673.0	556.0	1257.0	1368.0	555.0	1286.0	1000.0	4231.0	1173.0	3899.0	4144.0	596.0	3419.0	6457.0	4943.0	4022.0	3487.0	256.0	1596.0	72181.9	942839.0	1117654.7662	0.0
m097319/	1076.0	2186.0	1770.0	316.0	2837.0	6049.0	3387.0	1061.0	4372.0	2750.0	2866.0	1344.0	4526.0	692.0	1574.0	2024.0	593.0	1829.0	1226.0	4858.0	1458.0	4550.0	4978.0	950.0	3920.0	8013.0	5378.0	5485.0	3664.0	390.0	1922.0	88043.3	1193604.0	1359373.2816	0.0
m097468/	744.0	1856.0	1426.0	280.0	2114.0	3860.0	2445.0	863.0	3699.0	2250.0	2087.0	1045.0	3318.0	531.0	1327.0	1221.0	493.0	1263.0	810.0	3774.0	1105.0	3682.0	3377.0	569.0	3764.0	6886.0	3753.0	3850.0	3109.0	271.0	1534.0	67305.0	884254.0	1015607.05968	0.0
m097498/	479.0	1520.0	1556.0	236.0	2117.0	4005.0	2597.0	761.0	4245.0	1741.0	2445.0	853.0	3020.0	497.0	1189.0	1264.0	432.0	1119.0	1070.0	3657.0	946.0	3740.0	3369.0	446.0	2652.0	6017.0	3841.0	3712.0	2394.0	269.0	1412.0	63597.1	871397.0	977502.44326	0.0
m097554/	526.0	1190.0	1357.0	210.0	1811.0	3781.0	2159.0	680.0	3456.0	1750.0	1783.0	955.0	2709.0	407.0	1409.0	995.0	504.0	1173.0	797.0	3448.0	912.0	3314.0	3173.0	338.0	3059.0	6041.0	3659.0	3352.0	2466.0	290.0	1385.0	59087.6	833238.0	1130263.79303	0.0
m097555/	535.0	1764.0	1684.0	216.0	1761.0	3850.0	2154.0	778.0	3723.0	1688.0	2228.0	782.0	2741.0	485.0	1324.0	1200.0	462.0	940.0	1210.0	3230.0	980.0	3523.0	3124.0	424.0	2872.0	6227.0	3598.0	3393.0	2340.0	274.0	1477.0	60986.4	913362.0	1304552.34116	0.0
m097592/	357.0	1159.0	1603.0	186.0	1430.0	3476.0	1667.0	651.0	3610.0	1153.0	2059.0	575.0	2321.0	382.0	853.0	908.0	428.0	792.0	1013.0	2959.0	710.0	2683.0	2483.0	256.0	2220.0	4252.0	2722.0	2823.0	2104.0	280.0	1137.0	49254.2	758397.0	876907.983135	0.0
m097667/	607.0	1782.0	1767.0	134.0	2040.0	4365.0	2482.0	738.0	3875.0	1905.0	2538.0	965.0	3819.0	689.0	1406.0	1370.0	459.0	1191.0	1218.0	3973.0	939.0	4081.0	3640.0	495.0	3689.0	6804.0	4085.0	4039.0	2685.0	263.0	1465.0	69507.4	924435.0	1170000.23673	0.0
m097682/	713.0	2944.0	2394.0	416.0	3076.0	7095.0	4676.0	1017.0	6358.0	2738.0	3368.0	1382.0	4800.0	656.0	1820.0	1876.0	616.0	1640.0	1752.0	4763.0	1602.0	4761.0	5346.0	750.0	4854.0	10964.0	5926.0	5203.0	3689.0	395.0	1906.0	99495.0	1270922.0	1626046.1931	0.0
m097695/	550.0	1995.0	1945.0	346.0	2678.0	4570.0	3081.0	864.0	4796.0	2486.0	3070.0	1344.0	3539.0	650.0	1483.0	1612.0	562.0	1654.0	1415.0	4672.0	1025.0	4262.0	4250.0	654.0	3843.0	8428.0	4731.0	4411.0	3525.0	350.0	1729.0	80519.9	1073154.0	990670.56587	0.0
m097712/	526.0	1379.0	1596.0	286.0	1772.0	5094.0	2261.0	814.0	4296.0	1611.0	2166.0	733.0	3228.0	577.0	1249.0	1015.0	466.0	1036.0	1178.0	3544.0	994.0	3439.0	3168.0	350.0	3066.0	6288.0	3557.0	3681.0	2757.0	312.0	1337.0	63775.2	932078.0	1186628.58107	0.0
m097812/	631.0	1639.0	1665.0	204.0	1886.0	3921.0	2497.0	840.0	4675.0	2353.0	2504.0	1167.0	3020.0	506.0	1362.0	1111.0	593.0	1307.0	1123.0	3664.0	1060.0	3787.0	3160.0	485.0	3536.0	6725.0	3512.0	4537.0	2735.0	301.0	1330.0	67834.3	919020.0	1112107.15932	0.0
